name,salary_from,salary_to,salary_currency,area_name,published_at
Стажёр 2D-художник персонажей,15000.0,30000.0,RUR,Санкт-Петербург,2022-12-29T02:19:59+0300
Младший аналитик,,41500.0,RUR,Красноярск,2022-12-29T04:41:14+0300
Журналист/продюссер в Гродно,500.0,1000.0,BYR,Гродно,2022-12-29T01:53:46+0300
Инженер группы технического обслуживания,100000.0,180000.0,RUR,Южно-Сахалинск,2022-12-29T04:51:35+0300
Аналитик данных / Data Scientist (Middle),140000.0,200000.0,RUR,Новосибирск,2022-12-29T05:51:43+0300
Системный администратор,50000.0,75000.0,RUR,Москва,2022-12-29T01:03:19+0300
Механик по транспорту,50000.0,,RUR,Красноярск,2022-12-29T03:25:50+0300
Дизайнер,,34500.0,KGS,Бишкек,2022-12-29T05:27:22+0300
Системный администратор,50000.0,75000.0,RUR,Истра,2022-12-29T01:03:19+0300
Руководитель направления (электронные компоненты),150000.0,340000.0,RUR,Санкт-Петербург,2022-12-29T02:42:47+0300
Java-разработчик,150000.0,,RUR,Москва,2022-12-29T02:54:41+0300
Дизайнер - Менеджер стройки,100000.0,,RUR,Москва,2022-12-29T01:31:43+0300
Системный администратор,50000.0,75000.0,RUR,Красногорск,2022-12-29T01:03:19+0300
Аналитик данных / Data Scientist (Middle),140000.0,200000.0,RUR,Томск,2022-12-29T05:51:44+0300
Junior project manager в web-студию,45000.0,70000.0,RUR,Москва,2022-12-29T05:07:13+0300
Product Designer / Продуктовый дизайнер / UI дизайнер (удаленно),200000.0,300000.0,RUR,Москва,2022-12-29T02:03:01+0300
SQL-разработчик,140000.0,,RUR,Новосибирск,2022-12-29T05:37:38+0300
Программист 1С (ученик),50000.0,130000.0,RUR,Владивосток,2022-12-29T04:37:28+0300
"Back-end разработчик - стажер (php, Java/Kotlin)",15000.0,30000.0,RUR,Минск,2022-12-29T02:03:25+0300
DevOps / Системный администратор,40000.0,,RUR,Волгоград,2022-12-29T04:13:32+0300
Механик,35000.0,,RUR,Новосибирск,2022-12-29T05:24:33+0300
Дизайнер,,75000.0,RUR,Новосибирск,2022-12-29T05:19:43+0300
Инженер-электронщик,80000.0,80000.0,RUR,Санкт-Петербург,2022-12-29T00:24:32+0300
Fullstack Developer (React.js),4000.0,,USD,Москва,2022-12-29T01:31:25+0300
Инженер по тестированию техники,60000.0,70000.0,RUR,Владивосток,2022-12-29T02:11:04+0300
Механик,170000.0,,RUR,Иркутск,2022-12-29T04:50:37+0300
Системный администратор,60000.0,60000.0,RUR,Иркутск,2022-12-29T04:09:44+0300
Автомеханик,,65000.0,RUR,Залари,2022-12-29T03:55:13+0300
Product manager / Продакт менеджер,150000.0,250000.0,RUR,Москва,2022-12-29T01:43:58+0300
Системный администратор,55000.0,,RUR,Барнаул,2022-12-29T05:12:55+0300
Техник,,55000.0,RUR,Владивосток,2022-12-29T04:35:24+0300
Аналитик базы данных,40000.0,45000.0,RUR,Хабаровск,2022-12-29T04:54:41+0300
Ведущий системный администратор,80000.0,120000.0,RUR,Новосибирск,2022-12-29T05:50:31+0300
Инженер-машинист промышленного холодильного оборудования,93700.0,128000.0,RUR,Москва,2022-12-29T00:13:04+0300
PHP-программист middle laravel,4000.0,,BYR,Минск,2022-12-29T00:15:17+0300
Контролёр технического состояния транспортных средств,45000.0,45000.0,RUR,Новосибирск,2022-12-29T05:23:42+0300
Заточник,50000.0,,RUR,Иркутск,2022-12-29T03:02:00+0300
Сервисный инженер,40000.0,,RUR,Одинцово,2022-12-29T01:54:10+0300
Дизайнер/Графический дизайнер/Графический (web) дизайнер,35000.0,50000.0,RUR,Саранск,2022-12-29T00:27:56+0300
Региональный менеджер,68750.0,120000.0,RUR,Екатеринбург,2022-12-29T01:41:37+0300
Разработчик C#,80000.0,200000.0,RUR,Новосибирск,2022-12-29T03:23:20+0300
Кромщик/оператор кромкооблицовочного станка,70000.0,80000.0,RUR,Люберцы,2022-12-29T00:39:09+0300
Токарь-универсал,40000.0,,RUR,Таганрог,2022-12-29T00:21:51+0300
Токарь,50000.0,60000.0,RUR,Хабаровск,2022-12-29T05:11:12+0300
Инженер-наладчик станков ЧПУ,40000.0,,RUR,Иркутск,2022-12-29T03:02:51+0300
Механик клинингового оборудования,70000.0,100000.0,RUR,Москва,2022-12-29T02:35:17+0300
Фрезеровщик (г. Кемерово),,96000.0,RUR,Юрга,2022-12-29T05:19:44+0300
Механик тяжелой техники Caterpillar (цех),60000.0,100000.0,RUR,Хабаровск,2022-12-29T04:35:22+0300
Фрезеровщик (компенсация аренды жилья г. Кемерово),,96000.0,RUR,Мыски,2022-12-29T05:16:19+0300
Экономист-аналитик,45000.0,,RUR,Ангарск,2022-12-29T03:57:14+0300
Менеджер по продукту / Бренд менеджер,70000.0,130000.0,RUR,Москва,2022-12-29T00:53:24+0300
Теплотехник на кирпичный завод,85000.0,90000.0,RUR,Новосибирск,2022-12-29T04:19:09+0300
Инженер по безопасности дорожного движения,100000.0,,RUR,Иркутск,2022-12-29T04:50:32+0300
Junior project manager в web-студию,35000.0,60000.0,RUR,Минск,2022-12-29T01:36:42+0300
Механик по ремонту тяжелой техники,100000.0,,RUR,Хабаровск,2022-12-29T04:35:22+0300
Автомеханик,,65000.0,RUR,Усолье-Сибирское,2022-12-29T03:55:16+0300
Сервисный инженер ПНР (КОМАНДИРОВКИ),70000.0,90000.0,RUR,Новосибирск,2022-12-29T05:46:34+0300
Главный механик,40600.0,40600.0,RUR,Ярославль,2022-12-29T00:57:26+0300
"Механик в зерносушильный комплекс ""Мазалово""",40000.0,45000.0,RUR,Первомайское (Томская область),2022-12-29T05:16:43+0300
Фрезеровщик,,96000.0,RUR,Кемерово,2022-12-29T04:39:42+0300
Менеджер по приемке товара,46000.0,,RUR,Владивосток,2022-12-29T05:11:19+0300
Инженер-теплотехник/монтажник,60000.0,100000.0,RUR,Новосибирск,2022-12-29T03:55:51+0300
Системный администратор (технологии Microsoft),80000.0,150000.0,RUR,Новосибирск,2022-12-29T05:32:31+0300
Оператор станков с ЧПУ (металлообработка).,50000.0,,RUR,Томск,2022-12-29T05:55:42+0300
Бизнес-аналитик,150000.0,,RUR,Москва,2022-12-29T05:15:52+0300
Инженер средств радио и телевидения (смена),48000.0,52000.0,RUR,Дальнегорск,2022-12-29T01:18:47+0300
Механик по транспорту,50000.0,59000.0,RUR,Владивосток,2022-12-29T01:18:47+0300
Системный администратор,,70000.0,RUR,Владивосток,2022-12-29T02:00:05+0300
Флорист-дизайнер,,36000.0,RUR,Томск,2022-12-29T04:43:49+0300
