date,BYR,EUR,KZT,UAH,USD
2003-01,0.0164,34.4427,0.2051,5.9378,31.8001
2003-02,0.016,34.0549,0.2081,5.8941,31.5762
2003-03,0.0157,33.6205,0.2066,5.8536,31.38
2003-04,0.0154,34.3033,0.2048,5.7834,31.1
2003-05,0.015,36.3663,0.2042,5.6465,30.72
2003-06,0.0147,34.7124,0.2053,5.644,30.3483
2003-07,0.0146,34.746,0.2068,5.6604,30.322
2003-08,0.0145,33.0387,0.2063,5.6482,30.3916
2003-09,0.0144,34.9985,0.2052,5.665,30.4998
2003-10,0.0141,35.3435,0.203,5.5847,30.0847
2003-11,0.0138,35.4731,0.2028,5.514,29.7369
2003-12,0.0135,36.473,0.2037,5.4472,29.2533
2004-01,0.0132,35.5198,0.2045,5.2822,28.5139
2004-02,0.0132,35.5076,0.2051,5.2939,28.5156
2004-03,0.0132,34.4519,0.2057,5.2893,28.4891
2004-04,0.0134,34.2254,0.2082,5.3828,28.87
2004-05,0.0134,35.2689,0.2115,5.4338,28.985
2004-06,0.0134,35.2951,0.2126,5.4354,29.0256
2004-07,0.0135,35.2837,0.2138,5.4532,29.0832
2004-08,0.0135,35.4634,0.2139,5.4719,29.2289
2004-09,0.0135,35.869,0.2169,5.4372,29.2164
2004-10,0.0132,36.6986,0.2177,5.3457,28.7674
2004-11,0.013,37.5597,0.2175,5.2858,28.2659
2004-12,0.0128,37.633,0.2137,5.1345,27.7796
2005-01,0.0129,36.6665,0.2146,5.2572,28.0025
2005-02,0.0128,36.6281,0.2133,5.247,27.7738
2005-03,0.0128,35.8888,0.2116,5.3071,27.7112
2005-04,0.0129,35.9275,0.2116,5.4823,27.8055
2005-05,0.0131,35.1859,0.212,5.538,28.0813
2005-06,0.0133,34.7107,0.2114,5.6623,28.5802
2005-07,0.0134,34.4621,0.2116,5.7036,28.7304
2005-08,0.0132,35.051,0.2102,5.6386,28.4505
2005-09,0.0133,34.2985,0.2132,5.6098,28.5678
2005-10,0.0132,34.4685,0.2126,5.5366,28.4793
2005-11,0.0134,33.8479,0.2147,5.6798,28.7896
2005-12,0.0134,34.1288,0.2155,5.6804,28.8177
2006-01,0.013,34.1949,0.2122,5.4667,28.024
2006-02,0.0131,33.3305,0.2158,5.5007,28.1223
2006-03,0.0129,33.4415,0.217,5.441,27.773
2006-04,0.0127,34.0631,0.2206,5.3969,27.3621
2006-05,0.0126,34.5479,0.221,5.4008,27.0349
2006-06,0.0126,34.0486,0.2259,5.3677,27.0334
2006-07,0.0125,34.1713,0.2268,5.3226,26.8431
2006-08,0.0125,34.2019,0.2142,5.3081,26.7998
2006-09,0.0125,33.9726,0.2109,5.2986,26.7944
2006-10,0.0125,33.9677,0.2096,5.2856,26.7884
2006-11,0.0123,34.5983,0.2061,5.2114,26.3666
2006-12,0.0123,34.6536,0.2065,5.2216,26.3365
2007-01,0.0124,34.3176,0.2103,5.242,26.5575
2007-02,0.0122,34.518,0.2114,5.1654,26.1599
2007-03,0.0121,34.6768,0.2102,5.1389,26.018
2007-04,0.012,34.9972,0.2148,5.0916,25.7446
2007-05,0.0121,34.8041,0.2148,5.1412,25.9152
2007-06,0.012,34.6993,0.213,5.1225,25.8468
2007-07,0.0119,34.9911,0.2067,5.0694,25.4963
2007-08,0.0119,35.0773,0.2031,5.099,25.6544
2007-09,0.0116,35.3261,0.2059,4.9589,24.9619
2007-10,0.0115,35.558,0.205,4.9011,24.7722
2007-11,0.0113,36.0874,0.2015,4.7957,24.3111
2007-12,0.0114,35.7261,0.2036,4.8441,24.6387
2008-01,0.0113,36.0714,0.2034,4.7954,24.4386
2008-02,0.0113,36.3893,0.2003,4.7479,24.1966
2008-03,0.0109,37.0794,0.1949,4.6608,23.5171
2008-04,0.011,36.9422,0.1958,4.7266,23.6007
2008-05,0.011,37.1239,0.1953,4.9091,23.5513
2008-06,0.011,36.9077,0.1943,4.9565,23.4573
2008-07,0.011,36.7128,0.1943,5.0639,23.3572
2008-08,0.0116,36.1574,0.2053,5.3251,24.6019
2008-09,0.0118,36.5948,0.209,4.9256,25.0221
2008-10,0.0129,34.0844,0.2281,4.5968,27.3507
2008-11,0.0128,35.3629,0.2278,4.0031,27.4216
2008-12,0.0132,40.788,0.2403,3.767,29.0058
2009-01,0.0122,43.7123,0.2708,4.0738,32.9979
2009-02,0.0125,45.3543,0.2371,4.2024,35.7205
2009-03,0.012,45.3151,0.2205,4.1507,33.4133
2009-04,0.0118,43.8783,0.2215,4.1869,33.3904
2009-05,0.0113,43.4963,0.2076,4.0791,31.1846
2009-06,0.011,43.6965,0.2068,4.0585,31.1184
2009-07,0.0109,43.8249,0.2039,3.8553,30.7457
2009-08,0.0112,45.0782,0.2098,3.7158,31.6405
2009-09,0.0109,44.2562,0.1996,3.5539,30.137
2009-10,0.0107,43.2606,0.1925,3.5375,29.0184
2009-11,0.0109,44.3571,0.2005,3.7041,29.8179
2009-12,0.0103,42.3566,0.1983,3.6953,29.4266
2010-01,0.0105,42.5574,0.2045,3.767,30.2921
2010-02,0.0102,40.8047,0.2033,3.7333,29.9484
2010-03,0.0098,39.3808,0.201,3.7265,29.5142
2010-04,0.0098,38.8534,0.1985,3.6451,29.0623
2010-05,0.0103,37.9869,0.2106,3.8966,30.8786
2010-06,0.0103,38.3324,0.2109,3.904,31.0761
2010-07,0.0102,39.3139,0.2051,3.8304,30.2391
