name,salary_from,salary_to,salary_currency,area_name,published_at
Специалист,25000.0,30000.0,RUR,<html>Санктg-Петербург</html>,2012-04-09T13:49:00+0400
Web-программист,50000.0,75000.0,,Мосgква,2012-04-16T12:47:10+0400
Специалист,25000.0,30000.0,RUR,<html>Санктg-Петербург</html>,2012-04-09T13:49:00+0400
Web-программист,50000.0,75000.0,,Мосgква,2012-04-16T12:47:10+0400
Специалист,25000.0,30000.0,RUR,<html>Санктg-Петербург</html>,2012-04-09T13:49:00+0400
Web-программист,50000.0,75000.0,,Мосgква,2012-04-16T12:47:10+0400
Специалист,25000.0,30000.0,RUR,<html>Санктg-Петербург</html>,2012-04-09T13:49:00+0400
Web-программист,50000.0,75000.0,,Мосgква,2012-04-16T12:47:10+0400
Менеджер,80000.0,100000.0,RUR,Санкт-Петербург,2012-05-14T11:18:11+0400
Менеджер,80000.0,100000.0,RUR,Санкт-Петербург,2012-05-14T11:18:11+0400
Web-программист,50000.0,75000.0,,Мосgква,2012-04-16T12:47:10+0400
Специалист,25000.0,30000.0,RUR,<html>Санктg-Петербург</html>,2012-04-09T13:49:00+0400
Web-программист,50000.0,75000.0,,Мосgква,2012-04-16T12:47:10+0400
Менеджер,80000.0,100000.0,RUR,Санкт-Петербург,2012-05-14T11:18:11+0400
Менеджер,80000.0,100000.0,RUR,Санкт-Петербург,2012-05-14T11:18:11+0400
Web-программист,50000.0,75000.0,,Мосgква,2012-04-16T12:47:10+0400
Специалист,25000.0,30000.0,RUR,<html>Санктg-Петербург</html>,2012-04-09T13:49:00+0400
Web-программист,50000.0,75000.0,,Мосgква,2012-04-16T12:47:10+0400
Менеджер,80000.0,100000.0,RUR,Санкт-Петербург,2012-05-14T11:18:11+0400
Менеджер,80000.0,100000.0,RUR,Санкт-Петербург,2012-05-14T11:18:11+0400
Web-программист,50000.0,75000.0,,Мосgква,2012-04-16T12:47:10+0400
Специалист,25000.0,30000.0,RUR,<html>Санктg-Петербург</html>,2012-04-09T13:49:00+0400
Web-программист,50000.0,75000.0,,Мосgква,2012-04-16T12:47:10+0400
Менеджер,80000.0,100000.0,RUR,Санкт-Петербург,2012-05-14T11:18:11+0400
Менеджер,80000.0,100000.0,RUR,Санкт-Петербург,2012-05-14T11:18:11+0400
Web-программист,50000.0,75000.0,,Мосgква,2012-04-16T12:47:10+0400
Специалист,25000.0,30000.0,RUR,<html>Санктg-Петербург</html>,2012-04-09T13:49:00+0400
